obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759870609.9,9,2.99512004852,empty,empty,3759872717.32,3759872719.04,3759870605.0,3759870609.9,port_timestamp,1.46500003338,7.95170021057,28.3986150097,1022.11092768,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
1,3759881409.72,9,2.98779988289,empty,empty,3759916868.01,3759916868.21,3759881404.0,3759881409.72,port_timestamp,1.46300005913,7.8548002243,28.4005964159,1022.12537716,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
2,3759892208.96,9,2.98395991325,empty,empty,3759916868.01,3759916868.21,3759892204.0,3759892208.96,port_timestamp,1.48000001907,7.79879999161,28.4058125164,1022.13695692,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
3,3759903009.63,9,2.97424006462,empty,empty,3759916868.01,3759916868.21,3759903004.0,3759903009.63,port_timestamp,1.48099994659,7.74100017548,28.3506224891,1022.10126993,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
4,3759913809.57,9,2.96292996407,empty,empty,3759916868.01,3759916868.21,3759913804.0,3759913809.57,port_timestamp,1.47399997711,7.73680019379,28.2350639202,1022.01112079,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
5,3759924608.96,9,2.96031999588,empty,empty,3759958835.53,3759958835.55,3759924604.0,3759924608.96,port_timestamp,1.47500002384,7.69570016861,28.2408913814,1022.02106828,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
6,3759935408.08,9,2.95645999908,empty,empty,3759958835.53,3759958835.55,3759935403.0,3759935408.08,port_timestamp,1.48199999332,7.66209983826,28.2274656353,1022.01494073,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
7,3759946209.35,9,2.95685005188,empty,empty,3759958835.53,3759958835.55,3759946204.0,3759946209.35,port_timestamp,1.48300004005,7.70609998703,28.1959469346,1021.9844816,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
8,3759957008.99,9,2.95297002792,empty,empty,3759958842.23,3759958845.75,3759957004.0,3759957008.99,port_timestamp,1.47899997234,7.72109985352,28.1430127352,1021.94097209,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
9,3759967807.91,9,2.94377994537,empty,empty,3760044969.9,3760044969.91,3759967803.0,3759967807.91,port_timestamp,1.46800005436,7.70310020447,28.0608762366,1021.87882026,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
10,3759978609.17,9,2.93869996071,empty,empty,3760044969.9,3760044969.91,3759978604.0,3759978609.17,port_timestamp,1.46399998665,7.68330001831,28.0233734369,1021.85194755,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
11,3759989410.0,9,2.93752002716,empty,empty,3760044969.9,3760044969.91,3759989405.0,3759989410.0,port_timestamp,1.45700001717,7.63229990005,28.0520085428,1021.88099171,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
12,3760000209.74,9,2.95978999138,empty,empty,3760044969.9,3760044969.91,3760000205.0,3760000209.74,port_timestamp,1.44799995422,7.69180011749,28.238484417,1022.01956391,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
13,3760011008.84,9,2.96062994003,empty,empty,3760044969.9,3760044969.91,3760011004.0,3760011008.84,port_timestamp,1.44000005722,7.65749979019,28.275157106,1022.05277325,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
14,3760021808.86,9,2.99692988396,empty,empty,3760044969.9,3760044969.91,3760021804.0,3760021808.86,port_timestamp,1.45000004768,7.82070016861,28.524259624,1022.22683987,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
15,3760032609.6,9,2.99851989746,empty,empty,3760044969.9,3760044969.91,3760032604.0,3760032609.6,port_timestamp,1.4470000267,7.89979982376,28.4764326952,1022.17879785,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
