obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3758661006.44,9,3.44741010666,empty,empty,3758662833.12,3758662833.13,3758661007.0,3758661006.44,port_timestamp,29.8530006409,10.5064001083,30.8788149584,1023.7924347,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
1,3758668205.97,9,3.4534599781,empty,empty,3758727950.86,3758727950.9,3758668206.0,3758668205.97,port_timestamp,28.7689990997,10.5747003555,30.8815064184,1023.77815298,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
2,3758675407.41,9,3.45396995544,empty,empty,3758727950.86,3758727950.9,3758675408.0,3758675407.41,port_timestamp,28.0499992371,10.5768995285,30.8850006498,1023.77725387,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
3,3758682607.93,9,3.45546007156,empty,empty,3758727950.86,3758727950.9,3758682608.0,3758682607.93,port_timestamp,28.6009998322,10.5882997513,30.8899080508,1023.78164281,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
4,3758689807.48,9,3.45444011688,empty,empty,3758727950.86,3758727950.9,3758689808.0,3758689807.48,port_timestamp,30.063999176,10.5684995651,30.8959520181,1023.7962954,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
5,3758697005.76,9,3.4534599781,empty,empty,3758727950.86,3758727950.9,3758697006.0,3758697005.76,port_timestamp,30.716999054,10.5501003265,30.9015350312,1023.80670358,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
6,3758704208.41,9,3.45351004601,empty,empty,3758727950.86,3758727950.91,3758704209.0,3758704208.41,port_timestamp,29.8740005493,10.5417003632,30.9094947054,1023.81048784,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
7,3758711406.74,9,3.4519701004,empty,empty,3758727950.86,3758727950.91,3758711407.0,3758711406.74,port_timestamp,29.0890007019,10.5163002014,30.9160511891,1023.81631241,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
8,3758718605.36,9,3.45131993294,empty,empty,3758727950.86,3758727950.91,3758718606.0,3758718605.36,port_timestamp,28.5729999542,10.4967002869,30.9264282655,1023.82534854,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
9,3758725807.3,9,3.45005011559,empty,empty,3758727950.86,3758727950.91,3758725808.0,3758725807.3,port_timestamp,29.388999939,10.4668998718,30.9387591884,1023.84363166,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
