obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759006607.54,9,3.06107997894,empty,empty,3759009414.43,3759009414.59,3759006601.0,3759006607.54,port_timestamp,7.42600011826,8.16899967194,28.90787104,1022.50801519,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
1,3759013807.55,9,3.0675098896,empty,empty,3759030405.9,3759030405.91,3759013801.0,3759013807.55,port_timestamp,7.14900016785,8.27950000763,28.8841379318,1022.47288985,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
2,3759021007.55,9,3.07359004021,empty,empty,3759030405.9,3759030405.91,3759021001.0,3759021007.55,port_timestamp,7.29300022125,8.34340000153,28.8948442511,1022.47305048,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
3,3759028207.54,9,3.05702996254,empty,empty,3759030405.9,3759030405.91,3759028201.0,3759028207.54,port_timestamp,7.26000022888,8.13469982147,28.8939006566,1022.50101496,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
4,3759035407.55,9,3.05931997299,empty,empty,3759051438.44,3759051438.45,3759035401.0,3759035407.55,port_timestamp,6.98600006104,8.19359970093,28.8694657085,1022.4725174,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
5,3759042607.55,9,3.07476997375,empty,empty,3759051438.44,3759051438.45,3759042601.0,3759042607.55,port_timestamp,7.06300020218,8.39480018616,28.865055353,1022.44148771,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
6,3759049807.55,9,3.05300998688,empty,empty,3759051438.44,3759051438.45,3759049801.0,3759049807.55,port_timestamp,7.12400007248,8.17360019684,28.8200351529,1022.4371665,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
7,3759057007.55,9,3.0486600399,empty,empty,3759074521.76,3759074521.77,3759057001.0,3759057007.55,port_timestamp,7.29300022125,8.15769958496,28.7876382717,1022.41473614,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
8,3759064207.56,9,3.04456996918,empty,empty,3759074521.76,3759074521.77,3759064201.0,3759064207.56,port_timestamp,7.14499998093,8.13689994812,28.7620740795,1022.3968717,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
9,3759071407.55,9,3.03923988342,empty,empty,3759074521.76,3759074521.77,3759071401.0,3759071407.55,port_timestamp,7.21799993515,8.06449985504,28.7657354249,1022.40995174,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
10,3759082207.55,9,3.03801989555,empty,empty,3759095533.02,3759095533.04,3759082201.0,3759082207.55,port_timestamp,7.37599992752,8.05570030212,28.7601344871,1022.40748261,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
11,3759093007.55,9,3.0271499157,empty,empty,3759095554.97,3759095555.32,3759093001.0,3759093007.55,port_timestamp,7.15999984741,7.93359994888,28.7466433528,1022.41241989,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
12,3759103810.55,9,3.03100991249,empty,empty,3759137555.25,3759137555.27,3759103801.0,3759103810.55,port_timestamp,7.51399993896,7.98220014572,28.7470354188,1022.40780334,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
13,3759114607.55,9,3.02270007133,empty,empty,3759137555.25,3759137555.28,3759114601.0,3759114607.55,port_timestamp,7.00099992752,7.89860010147,28.7287791456,1022.40237929,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
14,3759125407.63,9,3.02512001991,empty,empty,3759137555.25,3759137555.28,3759125401.0,3759125407.63,port_timestamp,7.31199979782,7.9047999382,28.7489531281,1022.41879785,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
15,3759136207.58,9,3.01849007607,empty,empty,3759137555.25,3759137555.28,3759136201.0,3759136207.58,port_timestamp,7.02299976349,7.83370018005,28.7379043865,1022.418314,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
16,3759147007.52,9,3.00686001778,empty,empty,3759160675.33,3759160683.83,3759147001.0,3759147007.52,port_timestamp,7.03800010681,7.72720003128,28.7031158196,1022.40522112,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
17,3759157807.47,9,2.99488997459,empty,empty,3759160675.33,3759160683.83,3759157801.0,3759157807.47,port_timestamp,7.17199993134,7.71740007401,28.5849585874,1022.31441449,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
18,3759168607.55,9,3.00009989738,empty,empty,3759202655.99,3759202656.01,3759168601.0,3759168607.55,port_timestamp,7.02099990845,7.77810001373,28.5901298331,1022.30976529,29,5,29,13,29,13,29,13,29,13,47.13475,-124.27115
